2026-01-07 23:30:56.071 +02:00 [INF] Start installing Hangfire SQL objects...
2026-01-07 23:30:56.349 +02:00 [INF] Hangfire SQL objects installed.
2026-01-07 23:30:56.510 +02:00 [INF] Starting Hangfire Server using job storage: 'SQL Server: (localdb)\mssqllocaldb@PodcastDb'
2026-01-07 23:30:56.511 +02:00 [INF] Using the following options for SQL Server job storage: Queue poll interval: 00:00:00.
2026-01-07 23:30:56.512 +02:00 [INF] Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15
2026-01-07 23:30:56.524 +02:00 [INF] Server hinattasss:21408:b02af998 successfully announced in 5.1111 ms
2026-01-07 23:30:56.526 +02:00 [INF] Server hinattasss:21408:b02af998 is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, CountersAggregator, SqlServerHeartbeatProcess, Worker, DelayedJobScheduler, RecurringJobScheduler...
2026-01-07 23:30:56.531 +02:00 [INF] Server hinattasss:21408:b02af998 all the dispatchers started
2026-01-07 23:34:00.827 +02:00 [WRN] Failed to determine the https port for redirect.
2026-01-07 23:34:01.251 +02:00 [INF] HTTP GET /health responded 200 in 433.3400 ms
2026-01-07 23:34:01.274 +02:00 [INF] HTTP GET /favicon.ico responded 404 in 1.0214 ms
2026-01-07 23:34:22.911 +02:00 [INF] HTTP GET /health responded 200 in 12.5798 ms
2026-01-07 23:34:30.971 +02:00 [INF] HTTP GET /health responded 200 in 43.4318 ms
2026-01-07 23:34:37.149 +02:00 [INF] HTTP GET /swagger responded 301 in 0.3055 ms
2026-01-07 23:34:37.187 +02:00 [INF] HTTP GET /swagger/index.html responded 200 in 32.9006 ms
2026-01-07 23:34:37.203 +02:00 [INF] HTTP GET /swagger/swagger-ui-standalone-preset.js responded 200 in 6.1061 ms
2026-01-07 23:34:37.203 +02:00 [INF] HTTP GET /swagger/swagger-ui.css responded 200 in 7.1755 ms
2026-01-07 23:34:37.204 +02:00 [INF] HTTP GET /swagger/swagger-ui-bundle.js responded 200 in 7.2505 ms
2026-01-07 23:34:37.333 +02:00 [INF] HTTP GET /swagger/favicon-32x32.png responded 200 in 0.1501 ms
2026-01-07 23:34:37.375 +02:00 [INF] HTTP GET /swagger/v1/swagger.json responded 200 in 48.7244 ms
2026-01-07 23:36:11.143 +02:00 [INF] HTTP GET /health responded 200 in 1.3276 ms
